latitude,longitude,size_in_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,price
25.00292,55.256553,1006,2,2,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,650000
25.227337,55.441623,1321,2,3,Medium,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1399000
25.071365,55.124993,1176,2,2,Medium,False,True,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,1690000
25.010196,55.291467,680,1,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,490000
25.07359,55.126352,1899,3,4,Medium,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,3650000
25.109267000000003,55.145799,2000,3,4,Medium,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,1650000
25.194547,55.282429,1566,2,3,Medium,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,3400000
25.227337,55.441623,1600,3,3,Medium,True,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,1696000
25.132519,55.151574,1040,1,2,Medium,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1950000
25.201842000000003,55.280473,1162,2,3,Medium,False,True,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,1390000
25.123735999999997,55.153599,2873,3,4,Medium,True,False,True,True,True,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,4800000
25.064662,55.214103,3688,4,5,Medium,False,True,True,False,True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,2050906
25.068292,55.12918199999999,1739,2,3,High,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,800000
25.211032,55.28205,938,1,2,Medium,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,1300000
25.194935,55.282665,2310,3,4,Medium,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,5500000
25.08726,55.145517000000005,1939,3,4,Medium,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,3890000
25.086575,55.147768000000006,868,1,2,Medium,False,True,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,1460000
25.080327,55.13821899999999,1877,3,4,Medium,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,1690000
25.082647,55.135003000000005,1901,3,4,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3380000
25.10355,55.168509,3236,3,4,Medium,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,14570000
25.183515,55.26667,469,1,1,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,709000
25.189617,55.273196,1325,2,3,Medium,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,1650000
25.075017000000003,55.137997,1786,3,4,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2650000
25.087147,55.14668100000001,975,1,2,Medium,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,1600000
25.031902,55.223079000000006,454,0,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,330000
25.099793,55.141746,789,1,2,Medium,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,1722888
25.197316,55.274196,1103,1,2,High,False,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,2249888
25.079385,55.141932999999995,5757,4,5,Medium,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,3499000
25.193656,55.2727,2219,2,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2250000
25.197316,55.274196,1639,2,3,High,False,False,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False,3499888
25.10798,55.147521,1583,2,4,Medium,True,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,True,False,1259999
25.077072,55.134232999999995,760,0,1,Medium,False,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,850000
25.110165,55.137511,2279,3,4,Medium,False,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,3600000
25.11576,55.248755,648,1,1,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,750000
25.10355,55.168509,9576,4,5,Medium,False,True,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,34314000
25.111902,55.138103,1131,2,3,Medium,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,1754888
25.076319,55.133627,1929,3,4,Medium,False,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,1720000
25.046296,55.200782999999994,678,1,2,Ultra,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,660606
25.04866,55.20955,803,1,2,Medium,False,True,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,620720
25.080327,55.13821899999999,3112,4,4,Medium,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,3350000
25.132519,55.151574,1621,2,3,Medium,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,4996000
25.227295,55.341761,2020,2,3,Low,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2850000
25.19702,55.271023,1198,2,3,Medium,False,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1450000
25.04866,55.20955,835,1,2,Ultra,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,620503
25.132021,55.151405,1350,2,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2850000
25.193359,55.264968,1323,2,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1592892
25.114275,55.139764,1015,1,2,Medium,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False,3119900
